67,67
67,52
27,69
27,3
3,24
16,3
7,14
36,67
9,20
33,5
15,8
1,1
22,7
21,19
9,47
30,11
19,32
13,7
21,68
69,53
12,21
21,21
17,27
18,45
53,65
23,13
15,25
29,65
28,25
57,49
63,69
14,31
59,63
5,37
35,61
21,18
43,67
10,49
15,41
10,29
1,3
33,1
63,43
31,2
17,49
35,15
23,23
10,11
65,68
13,26
4,33
29,4
5,7
7,18
29,59
19,43
27,21
31,55
22,39
33,0
47,57
13,36
31,7
23,33
7,21
8,39
23,16
9,38
27,28
26,15
70,69
31,67
3,10
23,45
1,25
1,19
49,61
1,38
25,57
35,59
24,55
17,40
8,13
3,1
67,62
17,17
17,21
63,49
69,67
15,19
66,63
23,66
5,20
32,21
13,45
31,61
13,15
11,27
17,51
68,69
14,39
1,20
57,55
5,43
9,10
69,52
67,59
37,3
47,50
19,33
37,9
17,1
25,61
53,69
57,61
17,31
20,5
33,60
56,47
13,29
3,27
11,19
37,59
26,29
4,35
62,67
23,57
55,70
11,37
3,6
7,40
16,23
1,5
54,55
19,38
9,25
1,8
15,39
10,31
1,56
11,39
33,65
58,63
33,69
15,32
55,44
25,11
4,41
5,13
63,47
25,10
61,53
21,30
16,47
7,17
31,1
3,21
8,33
17,50
5,26
1,13
50,69
54,65
6,41
8,11
17,42
9,42
25,41
5,29
7,7
3,49
1,16
29,21
41,63
19,39
51,60
26,17
35,3
61,52
20,27
60,65
23,19
5,34
17,47
21,23
30,9
25,55
7,30
17,44
24,27
29,57
25,4
41,57
19,45
46,61
57,63
64,55
52,63
17,14
59,53
44,61
9,34
1,11
17,19
11,7
7,36
27,23
31,27
39,10
11,15
3,46
15,30
11,25
35,12
25,62
55,63
1,37
51,63
23,62
23,37
12,3
54,59
39,67
65,55
23,2
60,59
2,31
68,61
8,21
45,54
13,33
19,31
17,48
48,57
63,62
59,55
61,54
40,23
17,36
6,11
48,59
29,62
2,29
27,70
31,58
21,45
5,5
26,57
25,65
28,9
20,43
6,5
4,21
69,55
63,64
9,26
40,67
37,63
42,55
17,15
9,31
35,4
3,31
19,42
13,10
43,6
55,69
31,21
29,7
23,41
19,35
47,69
0,25
58,61
53,68
66,55
45,70
19,6
5,19
40,69
3,43
12,7
25,19
4,47
17,7
62,65
57,44
25,3
58,69
65,66
7,2
21,9
23,3
26,7
5,35
56,51
18,21
45,63
65,63
0,51
13,37
6,15
57,67
43,55
11,43
69,63
3,23
13,16
15,28
11,5
33,66
23,58
11,41
61,61
13,25
27,61
16,9
17,11
27,20
51,61
37,66
4,31
7,3
29,61
27,59
13,9
3,9
35,6
25,64
1,49
1,15
13,5
60,55
5,41
9,27
69,54
60,63
27,15
22,43
22,23
11,9
49,62
23,60
27,43
61,63
21,39
5,2
7,0
25,29
7,8
29,6
15,29
33,68
9,33
3,14
25,37
16,33
19,17
49,59
27,7
19,9
17,37
13,27
15,16
43,4
41,64
9,24
9,5
26,41
68,57
27,66
11,26
9,36
21,25
19,36
15,36
8,3
23,36
40,7
51,69
28,61
18,27
21,10
61,56
42,57
9,3
69,69
31,5
25,44
8,43
34,67
35,1
35,69
2,45
69,49
21,27
5,22
47,62
25,21
35,62
69,65
16,21
69,61
25,17
27,57
43,61
59,67
29,58
14,13
1,34
38,63
64,57
27,8
24,41
5,17
27,64
35,67
20,21
23,63
57,66
37,69
3,4
47,56
25,47
5,25
19,11
31,66
18,5
29,63
70,49
30,57
11,23
17,33
23,56
2,43
7,24
29,67
35,65
17,35
37,5
32,15
29,68
3,45
9,29
7,28
53,64
19,25
45,69
22,31
9,23
36,5
18,29
32,63
45,67
30,19
28,17
26,37
1,33
15,23
67,60
24,33
37,67
25,26
25,7
7,13
13,13
13,24
49,60
10,5
63,67
21,65
16,11
26,55
4,37
22,45
15,34
33,2
29,20
12,29
61,45
26,39
27,25
23,59
15,33
69,47
70,59
17,30
21,5
23,18
29,56
68,67
21,16
8,29
11,24
28,35
41,66
1,39
15,11
1,41
22,3
30,31
4,43
25,42
29,17
64,59
17,46
29,66
24,69
1,6
60,69
11,11
30,23
16,7
58,53
21,17
27,39
25,1
29,15
29,9
51,58
14,37
25,53
15,31
16,5
1,42
3,11
33,63
27,45
42,61
33,3
58,65
21,37
55,67
35,63
33,18
55,52
33,15
17,29
11,35
53,67
9,37
5,3
41,65
23,39
4,1
17,38
30,39
17,23
49,63
25,45
19,23
19,29
63,65
50,65
21,15
26,23
59,52
24,23
68,33
19,40
29,69
24,47
29,27
69,56
29,22
28,29
21,35
21,41
26,59
23,6
37,7
19,16
63,63
31,60
30,25
16,39
13,11
19,7
11,14
25,67
21,33
65,49
25,43
22,21
13,28
17,25
27,63
9,39
5,39
61,57
18,13
59,57
18,11
67,69
54,63
39,64
23,21
47,65
46,67
31,16
66,57
29,19
5,9
61,68
9,7
31,23
55,61
40,57
3,3
10,15
15,26
64,65
5,23
65,67
56,59
25,66
54,57
59,56
20,29
42,69
62,43
21,29
67,61
48,69
26,1
32,69
14,17
32,11
36,69
25,24
11,32
29,14
7,9
29,64
57,56
24,3
27,38
30,1
5,4
21,7
9,19
43,69
28,1
14,41
6,9
3,37
21,69
44,69
27,11
55,60
69,57
21,13
22,69
25,68
11,40
11,18
20,9
14,11
27,44
37,60
34,63
45,59
44,67
69,66
7,39
65,57
7,31
15,7
13,42
3,19
3,15
14,7
19,34
7,1
31,69
5,6
3,8
13,19
15,15
13,41
67,57
11,17
9,35
29,25
41,59
21,4
67,51
29,23
56,67
1,22
7,33
3,40
17,9
47,55
31,64
23,35
7,11
5,45
10,27
21,34
28,3
1,17
19,48
13,17
25,23
1,31
7,37
36,15
11,29
53,66
23,69
12,37
27,68
53,57
31,18
3,29
61,67
13,23
65,65
39,62
8,7
64,61
27,62
7,43
52,61
19,19
31,59
37,65
22,25
17,41
57,58
20,45
15,13
28,59
18,9
11,21
15,35
23,5
1,40
69,50
36,13
59,61
19,12
21,26
65,59
22,35
25,9
57,57
1,21
29,43
55,65
1,2
63,52
19,21
27,37
25,34
23,43
64,69
59,58
31,65
1,23
26,19
3,33
30,41
9,41
15,9
43,65
15,17
25,60
1,43
57,69
5,15
5,1
47,60
9,9
9,13
31,63
63,59
25,59
17,5
1,45
23,46
30,69
29,16
38,69
23,11
31,25
49,49
41,69
62,57
3,28
14,23
10,19
35,10
9,16
61,55
1,9
53,59
6,33
39,69
23,9
23,40
5,28
7,25
59,59
18,25
69,64
2,37
13,39
3,16
62,61
23,25
21,36
21,42
2,35
13,48
67,55
29,8
25,18
14,19
25,14
3,39
6,37
20,23
25,5
42,63
26,5
15,21
31,17
19,13
7,41
19,41
61,65
5,11
24,37
51,68
21,47
17,43
69,59
23,47
24,21
5,31
27,65
3,17
8,49
6,23
19,37
36,27
3,25
25,63
31,62
47,63
7,35
56,63
2,27
21,38
7,22
39,63
27,2
10,45
25,69
46,13
33,7
43,14
27,27
65,69
33,4
21,11
9,21
31,57
24,9
5,27
19,27
23,61
33,21
28,43
67,53
2,19
53,63
7,26
23,17
51,65
47,67
26,25
16,19
1,35
3,41
52,55
31,3
66,67
61,59
13,20
12,5
18,23
4,11
21,64
27,12
7,15
1,32
9,46
29,26
10,37
51,66
30,37
16,15
7,23
17,13
27,67
19,15
7,5
5,8
4,13
17,18
9,4
14,21
27,19
31,10
12,9
41,61
7,29
1,12
20,19
35,64
63,57
24,45
7,27
41,67
39,65
10,41
38,67
50,63
11,22
23,29
31,19
51,54
6,43
61,69
27,41
25,39
1,10
67,65
22,11
5,18
10,7
57,62
5,30
65,61
27,56
55,56
17,28
27,22
5,33
69,51
21,67
23,28
3,7
33,24
23,12
29,5
47,68
1,27
3,5
24,15
20,13
15,27
14,5
36,63
18,33
64,47
1,4
12,33
12,13
12,17
59,60
45,61
2,3
4,17
32,5
49,57
21,8
24,7
10,9
2,23
62,59
49,69
1,14
67,64
1,18
32,7
30,5
1,26
7,19
15,37
51,67
15,5
12,39
59,66
29,1
57,65
24,13
59,69
0,37
3,35
21,14
9,15
40,61
19,47
61,70
9,11
5,38
66,59
30,13
18,17
27,17
1,7
21,62
27,5
23,20
29,3
45,64
55,68
16,25
4,25
21,32
